timestamp,mode,lat,lon,alt
16:15:42.530043,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:42.774804,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:43.025371,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:43.276431,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:43.527057,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:43.777824,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:44.028521,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:44.279171,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:44.529850,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:44.774864,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:45.025770,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:45.276455,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:45.527430,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:45.777950,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:46.028651,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:46.279627,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:46.530243,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:46.775209,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:47.025999,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:47.276736,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:47.527547,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:47.778136,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:48.028863,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:48.279396,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:48.530411,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:48.775248,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:49.026879,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:49.277513,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:49.528343,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:49.779004,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:50.029966,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:50.275084,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:50.525938,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:50.776300,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:51.027296,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:51.277757,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:51.528517,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:51.779178,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:52.030107,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:52.274795,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:52.525636,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:52.776608,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:53.027719,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:53.278280,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:53.528933,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:53.779537,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:54.030139,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:54.275221,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:54.525933,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:54.776806,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:55.027632,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:55.278162,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:55.528725,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:55.779786,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:56.030393,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:56.275290,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:56.526114,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:56.776734,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:57.027687,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:57.278594,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:57.529119,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:57.779942,GUIDED,-35.3632622,149.1652375,603.5286373312906
16:15:58.030496,GUIDED,-35.3632622,149.1652375,603.5286373312906
